8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,w,r,r,r,r,r,r,r,r,r,r,r,r,r,y,r,r,r,r,r,r,r,y,r,r,y,r,r,r,r,r,r,e
3,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,S,;,;,;,;,;,t
3,l,v,n,n,n,b,l,v,n,n,n,b,l,v,n,n,n,b,H,v,n,n,n,b,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,m,;,;,R,m,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,;,;,t
3,l,x,n,;,n,c,l,x,n,;,n,c,l,x,n,;,n,c,l,x,n,;,n,c,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,A,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,v,n,;,n,b,l,v,n,;,n,b,l,v,n,;,n,b,l,v,n,;,n,b,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,W,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,l,t,;,;,;,;,;,;,;,;,;,;,;,;,;,t,;,;,;,;,;,;,;,t,;,;,t,;,;,;,;,;,;,t
3,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,l,i,r,r,r,r,r,r,;,r,r,r,r,r,r,o,r,r,r,;,r,r,r,q,;,;,=,r,r,r,r,r,r,u
3,l,m,;,;,;,m,A,m,;,;,;,m,l,m,;,;,;,m,l,m,;,;,;,m,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,W,W,W,l,l,l,l,l,l,l,l,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,t
